epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8556,2.06782,3.67528,1.82542,0.01184,0.70107,0.11297,0.04872,2.42946,3.44311,2.04952,0.0032963,0.0032963,0.0703333
2,43.2633,1.83386,2.72189,1.6578,0.81133,0.13216,0.11984,0.05392,3.25761,3.62476,2.71664,0.00662891,0.00662891,0.0403326
3,64.8364,1.84843,2.34574,1.6528,0.60551,0.18741,0.17368,0.07658,3.06782,3.89633,2.4809,0.00995864,0.00995864,0.010329
4,86.3265,1.84133,2.19894,1.65887,0.29946,0.14931,0.13941,0.05698,3.38572,3.78049,2.73022,0.00999023,0.00999023,0.00999023
5,107.479,1.81111,2.10104,1.65934,0.65088,0.15903,0.13922,0.04883,3.38601,3.48028,2.74857,0.00998264,0.00998264,0.00998264
6,128.817,1.8044,2.02334,1.64251,0.38798,0.2779,0.19332,0.07604,2.63819,3.02133,2.41131,0.00997288,0.00997288,0.00997288
7,150.034,1.7656,1.92932,1.63587,0.73555,0.12303,0.03847,0.01619,4.85237,6.29418,3.69723,0.00996097,0.00996097,0.00996097
8,171.35,1.7404,1.87551,1.62007,0.40725,0.47135,0.42308,0.17602,2.55073,2.18593,2.1339,0.0099469,0.0099469,0.0099469
9,193.097,1.70421,1.82198,1.61247,0.72634,0.13432,0.14856,0.05228,3.49124,3.00692,2.97154,0.00993068,0.00993068,0.00993068
10,214.263,1.72712,1.79542,1.62102,0.48334,0.5362,0.50283,0.21945,2.12104,1.8752,2.00872,0.00991232,0.00991232,0.00991232
11,235.726,1.68545,1.74553,1.60147,0.26642,0.29493,0.20496,0.08729,3.02506,3.06378,2.49023,0.00989183,0.00989183,0.00989183
12,257.349,1.65552,1.69258,1.59371,0.53107,0.11579,0.11942,0.03692,3.76292,3.67897,3.07317,0.00986922,0.00986922,0.00986922
13,278.537,1.59169,1.6382,1.55137,0.39392,0.49547,0.4158,0.19666,2.2375,1.95358,1.9747,0.00984449,0.00984449,0.00984449
14,299.911,1.6009,1.62755,1.56414,0.42236,0.38739,0.3799,0.16996,2.26871,2.18198,2.07605,0.00981765,0.00981765,0.00981765
15,321.542,1.62113,1.66874,1.57919,0.32699,0.39344,0.35399,0.16002,2.24982,2.34959,2.14888,0.00978873,0.00978873,0.00978873
16,343.044,1.61427,1.63715,1.57215,0.43725,0.4597,0.42298,0.19024,2.22941,2.0146,1.98896,0.00975773,0.00975773,0.00975773
17,364.304,1.59851,1.59329,1.56971,0.30062,0.36176,0.26292,0.11234,2.92737,2.89938,2.4691,0.00972466,0.00972466,0.00972466
18,385.493,1.57545,1.53797,1.54565,0.63108,0.22445,0.2623,0.12018,2.6976,2.98794,2.36147,0.00968955,0.00968955,0.00968955
19,406.587,1.56574,1.54396,1.55735,0.48145,0.64707,0.58859,0.28179,1.86038,1.60781,1.86717,0.00965239,0.00965239,0.00965239
20,428.164,1.54389,1.51402,1.55018,0.47633,0.46707,0.48183,0.2099,2.17608,1.9128,2.01219,0.00961322,0.00961322,0.00961322
21,449.617,1.55716,1.54728,1.5637,0.59769,0.24085,0.31924,0.13743,2.53607,2.42181,2.16048,0.00957205,0.00957205,0.00957205
22,470.817,1.53806,1.4956,1.54178,0.71902,0.52262,0.61879,0.30683,1.80467,1.62013,1.79427,0.00952889,0.00952889,0.00952889
23,491.936,1.54139,1.51995,1.54403,0.4747,0.24595,0.20535,0.08536,3.17141,3.61695,2.7082,0.00948377,0.00948377,0.00948377
24,513.017,1.52775,1.48525,1.52813,0.41755,0.23413,0.21002,0.09061,3.13343,3.34783,2.66047,0.00943671,0.00943671,0.00943671
25,534.247,1.5302,1.48269,1.53135,0.59977,0.5354,0.59601,0.29459,1.8027,1.66217,1.8648,0.00938772,0.00938772,0.00938772
26,555.724,1.4878,1.46402,1.52026,0.38669,0.45003,0.43728,0.18071,2.20588,2.16947,2.09595,0.00933683,0.00933683,0.00933683
27,576.799,1.48114,1.43444,1.51251,0.53115,0.61458,0.62566,0.31147,1.80837,1.53831,1.79594,0.00928405,0.00928405,0.00928405
28,598.165,1.47083,1.42294,1.50635,0.68705,0.43418,0.50786,0.2345,2.30033,1.95135,2.04861,0.00922942,0.00922942,0.00922942
29,619.781,1.48523,1.4438,1.52931,0.55565,0.55961,0.59579,0.27293,2.06228,1.67249,1.92368,0.00917296,0.00917296,0.00917296
30,641.114,1.4697,1.41624,1.49964,0.59447,0.60931,0.63043,0.29693,1.94354,1.60689,1.92895,0.00911469,0.00911469,0.00911469
31,662.509,1.44667,1.41764,1.50237,0.61687,0.24469,0.22313,0.10115,3.08011,3.02672,2.68524,0.00905463,0.00905463,0.00905463
32,683.89,1.45546,1.39667,1.5039,0.59171,0.5825,0.61252,0.30588,1.87536,1.54319,1.83986,0.00899282,0.00899282,0.00899282
33,705.459,1.44162,1.38546,1.4973,0.51322,0.61037,0.61179,0.29114,1.92861,1.61726,1.92218,0.00892928,0.00892928,0.00892928
34,726.78,1.47295,1.40551,1.50534,0.40913,0.47373,0.40244,0.18995,2.41657,2.21916,2.15931,0.00886404,0.00886404,0.00886404
35,747.884,1.45456,1.39783,1.51362,0.26592,0.23094,0.18981,0.07859,3.26416,3.80552,2.7894,0.00879713,0.00879713,0.00879713
36,769.045,1.41466,1.3583,1.48477,0.60171,0.60637,0.65679,0.3256,1.81023,1.48147,1.80009,0.00872857,0.00872857,0.00872857
37,790.459,1.4279,1.37377,1.4914,0.54907,0.66675,0.64235,0.31017,1.9258,1.54102,1.83272,0.00865839,0.00865839,0.00865839
38,811.666,1.42183,1.35121,1.4869,0.4148,0.09451,0.06572,0.01938,3.20378,4.80074,2.96661,0.00858664,0.00858664,0.00858664
39,832.916,1.43037,1.36356,1.49302,0.6412,0.5612,0.61551,0.29111,1.891,1.58125,1.83212,0.00851333,0.00851333,0.00851333
40,853.962,1.39482,1.3534,1.48071,0.46639,0.17864,0.18149,0.07445,2.86308,3.16251,2.5918,0.00843851,0.00843851,0.00843851
41,875.121,1.39031,1.33249,1.48523,0.60554,0.64932,0.66704,0.32525,1.84106,1.53792,1.77598,0.0083622,0.0083622,0.0083622
42,896.504,1.41648,1.32615,1.47723,0.52468,0.49664,0.51842,0.24858,2.21501,1.76785,2.08627,0.00828443,0.00828443,0.00828443
43,918.23,1.39575,1.31612,1.47662,0.48814,0.50607,0.52339,0.26151,1.97724,1.82489,1.88999,0.00820525,0.00820525,0.00820525
44,939.37,1.39378,1.30967,1.47147,0.58104,0.62967,0.65366,0.32812,1.79242,1.51475,1.77759,0.00812468,0.00812468,0.00812468
45,961.013,1.36847,1.30972,1.46874,0.27983,0.26789,0.21095,0.08321,3.36717,3.47524,2.81027,0.00804277,0.00804277,0.00804277
46,982.443,1.39818,1.31875,1.48001,0.60649,0.44464,0.4547,0.22874,2.05528,2.15922,1.9959,0.00795954,0.00795954,0.00795954
