epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7736,4.32966,4.37806,4.06553,0.00397,0.33039,0.06149,0.01376,5.06517,3.73672,3.98577,0.0032963,0.0032963,0.0703333
2,59.1546,3.35124,3.43609,3.54503,0.30349,0.26298,0.13575,0.04294,3.46836,4.49258,3.41225,0.00662891,0.00662891,0.0403326
3,88.9539,2.65939,3.028,3.10994,0.07811,0.41022,0.12944,0.04031,3.05824,10.0715,3.16822,0.00995864,0.00995864,0.010329
4,118.363,2.37228,2.76352,2.8011,0.66005,0.10849,0.07618,0.0249,3.70242,5.63932,3.24872,0.00999023,0.00999023,0.00999023
5,147.829,2.1511,2.64967,2.58349,0.27341,0.12672,0.05173,0.01876,3.21805,6.74408,3.06304,0.00998264,0.00998264,0.00998264
6,177.164,1.97319,2.44939,2.44504,0.66713,0.16266,0.17683,0.06114,2.87337,3.08284,2.78723,0.00997288,0.00997288,0.00997288
7,206.851,1.90127,2.33184,2.34297,0.23967,0.16141,0.07639,0.02819,2.94742,3.85294,2.86965,0.00996097,0.00996097,0.00996097
8,236.558,1.79588,2.23121,2.27291,0.36023,0.32447,0.18134,0.06289,2.55397,3.18637,2.55476,0.0099469,0.0099469,0.0099469
9,265.897,1.74296,2.17896,2.22708,0.70474,0.24882,0.34234,0.14205,2.46962,2.49832,2.57217,0.00993068,0.00993068,0.00993068
10,295.05,1.72244,2.10769,2.19421,0.48384,0.27785,0.27734,0.11824,2.42378,2.74427,2.49183,0.00991232,0.00991232,0.00991232
11,324.322,1.67837,2.08086,2.14932,0.4797,0.32058,0.25323,0.10035,2.52185,2.66176,2.63586,0.00989183,0.00989183,0.00989183
12,353.579,1.63539,2.02426,2.10592,0.37271,0.42513,0.38641,0.18389,2.14137,2.44388,2.27007,0.00986922,0.00986922,0.00986922
13,382.863,1.59094,1.95334,2.06464,0.35183,0.46868,0.38398,0.16687,2.01568,2.3246,2.2324,0.00984449,0.00984449,0.00984449
14,412.096,1.62295,1.95289,2.06761,0.57997,0.23457,0.24267,0.08706,2.87987,3.17229,2.68748,0.00981765,0.00981765,0.00981765
15,441.535,1.58177,1.91289,2.04624,0.60675,0.233,0.23065,0.09203,2.58993,3.15128,2.69144,0.00978873,0.00978873,0.00978873
16,470.917,1.5811,1.89326,2.04692,0.32195,0.4866,0.35394,0.15312,2.21548,2.34809,2.34926,0.00975773,0.00975773,0.00975773
17,500.219,1.53417,1.84802,2.0003,0.21738,0.28276,0.22724,0.08398,2.56258,2.98632,2.55491,0.00972466,0.00972466,0.00972466
18,529.643,1.54102,1.828,1.99068,0.43966,0.53324,0.51967,0.22775,2.07484,2.04682,2.31883,0.00968955,0.00968955,0.00968955
19,558.934,1.54379,1.80245,1.99232,0.62521,0.4362,0.49232,0.20553,2.08389,1.91145,2.23973,0.00965239,0.00965239,0.00965239
20,588.579,1.52817,1.7509,1.96992,0.34306,0.49624,0.39056,0.16234,2.26515,2.35639,2.30542,0.00961322,0.00961322,0.00961322
21,617.857,1.49436,1.743,1.96308,0.48781,0.57238,0.5626,0.25379,1.94921,1.88679,2.16405,0.00957205,0.00957205,0.00957205
22,646.949,1.49634,1.73049,1.94507,0.5163,0.42003,0.41132,0.17456,2.38858,2.30125,2.36724,0.00952889,0.00952889,0.00952889
23,676.25,1.45028,1.73658,1.92069,0.50015,0.51026,0.53368,0.24709,2.03094,1.85945,2.17304,0.00948377,0.00948377,0.00948377
24,705.835,1.4831,1.70362,1.91667,0.46948,0.53936,0.52811,0.25179,2.00091,1.84322,2.1739,0.00943671,0.00943671,0.00943671
25,735.108,1.47926,1.6962,1.93138,0.47687,0.49723,0.45336,0.20135,2.22722,2.03526,2.31123,0.00938772,0.00938772,0.00938772
26,764.209,1.46845,1.65981,1.91133,0.52654,0.54866,0.54624,0.24809,1.99524,1.90442,2.22455,0.00933683,0.00933683,0.00933683
27,793.478,1.43783,1.64134,1.8861,0.57227,0.48582,0.54469,0.24188,2.0046,2.04208,2.14824,0.00928405,0.00928405,0.00928405
28,822.997,1.44105,1.61917,1.89135,0.4584,0.46835,0.43579,0.18882,2.16498,2.22922,2.28085,0.00922942,0.00922942,0.00922942
29,852.283,1.41926,1.6202,1.88693,0.593,0.34313,0.35414,0.14982,2.36395,2.43661,2.43848,0.00917296,0.00917296,0.00917296
30,881.827,1.43276,1.63357,1.88428,0.47452,0.59411,0.56052,0.26792,1.98155,1.80992,2.16578,0.00911469,0.00911469,0.00911469
31,911.102,1.42526,1.62675,1.87118,0.54552,0.33053,0.34053,0.14399,2.30377,2.48051,2.39546,0.00905463,0.00905463,0.00905463
32,940.759,1.43872,1.58977,1.85258,0.58683,0.57001,0.60088,0.26527,2.01316,1.83362,2.20611,0.00899282,0.00899282,0.00899282
33,970.347,1.38963,1.56969,1.84118,0.54254,0.64718,0.65071,0.30875,1.83141,1.60865,2.05947,0.00892928,0.00892928,0.00892928
34,999.653,1.42475,1.59591,1.86721,0.32676,0.16796,0.15097,0.0496,3.25369,3.76148,3.09677,0.00886404,0.00886404,0.00886404
35,1028.82,1.40502,1.55916,1.84805,0.57327,0.62314,0.61161,0.27779,1.86258,1.70408,2.04313,0.00879713,0.00879713,0.00879713
36,1058.37,1.39638,1.56859,1.83908,0.46921,0.59942,0.56051,0.26489,1.96834,1.7409,2.08306,0.00872857,0.00872857,0.00872857
37,1087.45,1.38062,1.57677,1.83142,0.44962,0.18381,0.12361,0.03814,3.39114,3.88776,3.13045,0.00865839,0.00865839,0.00865839
38,1116.68,1.36944,1.53109,1.82143,0.53109,0.31878,0.3218,0.1419,2.48147,2.7377,2.44055,0.00858664,0.00858664,0.00858664
39,1145.72,1.37355,1.54435,1.83219,0.68454,0.57375,0.65428,0.3177,1.78453,1.58402,2.05941,0.00851333,0.00851333,0.00851333
40,1175.11,1.34578,1.51147,1.80664,0.53681,0.6693,0.62051,0.29373,1.90256,1.67519,2.14639,0.00843851,0.00843851,0.00843851
41,1204.4,1.35011,1.48257,1.80026,0.45634,0.42546,0.35261,0.15796,2.7313,3.2554,2.61327,0.0083622,0.0083622,0.0083622
42,1233.99,1.36619,1.50417,1.81575,0.50748,0.642,0.61827,0.29124,1.89953,1.65736,2.13062,0.00828443,0.00828443,0.00828443
43,1263.3,1.34867,1.48228,1.80231,0.59858,0.52026,0.5861,0.27268,1.98615,1.68945,2.1305,0.00820525,0.00820525,0.00820525
44,1292.87,1.35941,1.49644,1.80175,0.56837,0.61409,0.60925,0.29151,1.90985,1.76741,2.09701,0.00812468,0.00812468,0.00812468
45,1322.27,1.33818,1.46449,1.78845,0.67275,0.57424,0.60491,0.30136,1.88984,1.6447,2.09763,0.00804277,0.00804277,0.00804277
46,1351.5,1.34402,1.44854,1.78854,0.58295,0.59114,0.61055,0.28471,1.98442,1.69339,2.12907,0.00795954,0.00795954,0.00795954
47,1380.5,1.33387,1.44562,1.79355,0.57538,0.50087,0.59206,0.27081,2.00979,1.81663,2.1766,0.00787503,0.00787503,0.00787503
48,1410.05,1.34956,1.45894,1.78167,0.64661,0.65107,0.6642,0.31477,1.8993,1.5973,2.06184,0.00778929,0.00778929,0.00778929
49,1439.29,1.32159,1.44066,1.78085,0.47432,0.28138,0.26372,0.09648,3.41745,4.44538,3.07466,0.00770234,0.00770234,0.00770234
50,1468.44,1.32934,1.41821,1.76055,0.49104,0.45675,0.47332,0.18909,2.34764,2.16335,2.39727,0.00761423,0.00761423,0.00761423
51,1497.37,1.32074,1.40159,1.76425,0.66078,0.48905,0.63735,0.31597,1.86729,1.57891,2.0576,0.007525,0.007525,0.007525
52,1526.91,1.29814,1.42749,1.77223,0.54919,0.60273,0.60895,0.29007,2.00194,1.59975,2.15829,0.00743468,0.00743468,0.00743468
53,1556.23,1.3137,1.39182,1.76212,0.60831,0.60071,0.60518,0.2744,2.054,1.59076,2.15284,0.00734332,0.00734332,0.00734332
54,1585.71,1.31677,1.41881,1.75795,0.50252,0.47527,0.49016,0.19486,2.37375,2.11383,2.41911,0.00725094,0.00725094,0.00725094
