epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0264,0.95728,3.68533,1.83952,0.7424,0.08543,0.16737,0.07685,1.11903,3.4502,2.11458,0.0032963,0.0032963,0.0703333
2,75.0171,0.83154,2.73885,1.64363,0.50276,0.2705,0.28319,0.12382,1.13656,2.80268,2.0441,0.00662891,0.00662891,0.0403326
3,111.219,0.85418,2.31079,1.63165,0.24359,0.2345,0.08533,0.02809,1.47906,3.27044,2.55795,0.00995864,0.00995864,0.010329
4,146.852,0.85542,2.15928,1.65184,0.103,0.08974,0.07816,0.03352,1.65647,3.75493,3.03794,0.00999023,0.00999023,0.00999023
5,183.698,0.82772,1.99947,1.6376,0.40885,0.37417,0.27111,0.1067,1.14482,3.88783,2.15317,0.00998264,0.00998264,0.00998264
6,220.111,0.84074,1.97716,1.65237,0.24998,0.39196,0.20964,0.07919,1.23905,2.65262,2.36764,0.00997288,0.00997288,0.00997288
7,256.3,0.81845,1.88255,1.62952,0.64009,0.19583,0.1816,0.07547,1.49034,3.34461,2.59191,0.00996097,0.00996097,0.00996097
8,292.216,0.80265,1.79204,1.61678,0.48561,0.16204,0.18984,0.06554,1.41917,2.92622,2.48605,0.0099469,0.0099469,0.0099469
9,327.772,0.7773,1.73152,1.59962,0.57258,0.19737,0.23161,0.10297,1.71057,4.57534,2.94995,0.00993068,0.00993068,0.00993068
10,363.562,0.78936,1.69848,1.60185,0.46168,0.3004,0.28763,0.14045,1.2422,2.87316,2.36266,0.00991232,0.00991232,0.00991232
11,398.536,0.79603,1.67647,1.59776,0.37873,0.08637,0.03446,0.0095,2.10312,4.17424,3.6746,0.00989183,0.00989183,0.00989183
12,434.065,0.78579,1.62443,1.58294,0.33896,0.41183,0.37843,0.17406,1.20209,2.28218,2.25484,0.00986922,0.00986922,0.00986922
13,470.109,0.77553,1.65071,1.58248,0.43081,0.33797,0.35419,0.14485,1.21212,2.18004,2.16713,0.00984449,0.00984449,0.00984449
14,504.993,0.76913,1.57531,1.5614,0.20974,0.09645,0.08127,0.03252,1.95118,4.04565,3.32555,0.00981765,0.00981765,0.00981765
15,541.985,0.78427,1.5862,1.57613,0.52816,0.56982,0.54424,0.2594,0.93696,1.74413,1.86229,0.00978873,0.00978873,0.00978873
16,577.583,0.76278,1.55373,1.56038,0.42429,0.55092,0.53751,0.24387,0.94693,1.719,1.88223,0.00975773,0.00975773,0.00975773
17,614.214,0.77109,1.53291,1.56464,0.70879,0.47407,0.55647,0.28483,0.93372,1.72665,1.86602,0.00972466,0.00972466,0.00972466
