epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2534,2.4071,3.35948,1.95328,0.2165,0.28819,0.22889,0.10321,2.4691,2.63537,2.07168,0.0032963,0.0032963,0.0703333
2,96.02,1.88338,1.92899,1.6469,0.44746,0.12497,0.09505,0.04288,4.14557,3.9134,2.99821,0.00662891,0.00662891,0.0403326
3,142.075,1.83653,1.79103,1.60706,0.61323,0.12995,0.11667,0.05402,3.72118,3.74694,2.92906,0.00995864,0.00995864,0.010329
4,187.87,1.87563,1.74503,1.62849,0.35186,0.28883,0.18888,0.07232,3.21495,3.17847,2.48605,0.00999023,0.00999023,0.00999023
5,233.849,1.84309,1.72368,1.63416,0.67974,0.12838,0.14981,0.04841,3.32549,3.9646,2.59037,0.00998264,0.00998264,0.00998264
6,279.827,1.81471,1.68759,1.62456,0.51718,0.41621,0.33279,0.14267,2.61731,2.49284,2.42653,0.00997288,0.00997288,0.00997288
7,325.75,1.83437,1.66432,1.6452,0.54137,0.24671,0.2699,0.10178,2.95857,2.80041,2.43389,0.00996097,0.00996097,0.00996097
8,371.914,1.7922,1.64963,1.61285,0.61349,0.19646,0.22891,0.08393,2.87169,2.83113,2.40153,0.0099469,0.0099469,0.0099469
9,419.296,1.76749,1.63537,1.619,0.37645,0.40794,0.34061,0.15353,2.84373,2.31719,2.36521,0.00993068,0.00993068,0.00993068
10,465.808,1.76594,1.62908,1.6156,0.43458,0.53253,0.46538,0.1868,2.45343,1.82278,2.10365,0.00991232,0.00991232,0.00991232
11,512.557,1.71937,1.58241,1.59725,0.57394,0.46541,0.50305,0.23348,2.03662,1.86908,1.9582,0.00989183,0.00989183,0.00989183
12,559.288,1.68004,1.53914,1.58661,0.56285,0.18479,0.17063,0.06431,3.12764,3.42889,2.61341,0.00986922,0.00986922,0.00986922
13,604.267,1.6315,1.47389,1.55454,0.64692,0.45545,0.53274,0.25016,2.18919,1.74852,1.99627,0.00984449,0.00984449,0.00984449
14,650.437,1.65282,1.48898,1.57918,0.52353,0.5262,0.5166,0.22139,2.17485,1.66697,2.01251,0.00981765,0.00981765,0.00981765
15,697.088,1.65236,1.51585,1.57083,0.44575,0.52724,0.51153,0.25086,2.13116,1.88414,2.1088,0.00978873,0.00978873,0.00978873
16,742.273,1.6323,1.4947,1.56347,0.42091,0.51941,0.48567,0.20346,2.26711,1.87258,2.05584,0.00975773,0.00975773,0.00975773
17,789.414,1.61922,1.43308,1.5514,0.47092,0.53998,0.52484,0.24862,2.06823,1.76516,1.89739,0.00972466,0.00972466,0.00972466
18,835.623,1.6069,1.41035,1.53933,0.52212,0.56812,0.58606,0.28593,2.02198,1.64556,1.90152,0.00968955,0.00968955,0.00968955
19,882.999,1.59999,1.42602,1.54608,0.50642,0.47927,0.51742,0.2278,2.43918,1.82078,2.0854,0.00965239,0.00965239,0.00965239
20,928.328,1.56265,1.39326,1.54108,0.33983,0.34214,0.30912,0.13031,2.81134,2.41332,2.37456,0.00961322,0.00961322,0.00961322
21,973.855,1.57253,1.44517,1.55567,0.63797,0.50051,0.58061,0.27129,1.98827,1.70735,1.88614,0.00957205,0.00957205,0.00957205
22,1020.54,1.53775,1.37693,1.52455,0.45567,0.47239,0.45829,0.21761,2.376,2.02553,2.11937,0.00952889,0.00952889,0.00952889
23,1065.74,1.58122,1.38927,1.53524,0.66494,0.5556,0.63593,0.31072,1.93896,1.51755,1.81527,0.00948377,0.00948377,0.00948377
24,1111.35,1.53171,1.38634,1.52315,0.52841,0.51739,0.53297,0.2444,2.21506,1.71087,1.96771,0.00943671,0.00943671,0.00943671
25,1158.61,1.53132,1.38171,1.51987,0.35387,0.2203,0.16619,0.06045,3.46507,3.85875,2.71067,0.00938772,0.00938772,0.00938772
26,1204.75,1.50238,1.35181,1.51321,0.47883,0.53078,0.54368,0.25446,2.05699,1.7343,1.9628,0.00933683,0.00933683,0.00933683
27,1250.96,1.49375,1.34532,1.50321,0.51281,0.63494,0.63666,0.30415,1.95956,1.53833,1.89495,0.00928405,0.00928405,0.00928405
28,1296.27,1.47938,1.31505,1.49687,0.63138,0.58766,0.65311,0.31276,2.03817,1.47551,1.86945,0.00922942,0.00922942,0.00922942
29,1343.02,1.48449,1.33789,1.51299,0.35332,0.20776,0.18205,0.07824,3.67135,4.00852,2.90509,0.00917296,0.00917296,0.00917296
30,1389.4,1.48299,1.30808,1.49455,0.47827,0.65454,0.61287,0.28689,1.9801,1.59612,1.92591,0.00911469,0.00911469,0.00911469
31,1434.76,1.45463,1.3056,1.48756,0.64059,0.58804,0.63068,0.3272,1.83302,1.48064,1.8063,0.00905463,0.00905463,0.00905463
32,1481.08,1.46305,1.2888,1.49553,0.48527,0.471,0.50086,0.22,2.39893,1.90908,2.13111,0.00899282,0.00899282,0.00899282
33,1528.1,1.45515,1.2719,1.48295,0.61287,0.48144,0.47586,0.22485,2.32253,2.06852,2.07491,0.00892928,0.00892928,0.00892928
34,1574.23,1.46228,1.306,1.49357,0.55569,0.64127,0.62864,0.29842,1.96872,1.51835,1.86171,0.00886404,0.00886404,0.00886404
